idx,symbol,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,sweep_count_20,bsl_dist_atr,ssl_dist_atr,is_bsl_swept,is_ssl_swept,ob_remaining,selection_policy,opened_at,closed_at,entry_mode,entry,sl,tp1,tp2,tp3,exit_price,exit_reason,raw_pnl_r,cost_r,pnl_r,bars_held,exit_i,tp1_real_touch,tp2_real_touch,tp3_real_touch,v56_production,exit_policy
1160,UNKNOWN,2025-06-13 13:45:00,2025-06-13,TREND_PULLBACK,Short,68.2115,68.2115,ema20_pullback;trend_stack,51.8343,-0.1474,-0.1145,0.8468,13,4,2,1.8766,1.0725,False,False,0.3637,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-13 14:00:00,2025-06-13 14:30:00,NEXT_BAR_OPEN_REALISTIC,104685.3,104609.44642857,104427.39785714,104245.34928571,104017.78857143,104609.44642857,BE_AFTER_TP1,0.805,0.07,0.735,2,1163,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1265,UNKNOWN,2025-06-14 16:00:00,2025-06-14,FVG_TOUCH,Short,63.601,63.601,bearish_fvg_touch,49.9067,-0.7595,-0.1448,0.0814,16,5,3,2.1132,1.3092,False,False,0.3825,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-14 16:15:00,2025-06-14 18:00:00,NEXT_BAR_OPEN_REALISTIC,104766.7,104701.2208125,104544.0707625,104386.9207125,104190.48315,104701.2208125,BE_AFTER_TP1,0.805,0.07,0.735,7,1273,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1379,UNKNOWN,2025-06-15 20:30:00,2025-06-15,FVG_TOUCH,Short,66.3214,66.3214,bearish_fvg_touch,26.6552,-0.2246,1.6563,0.7185,20,6,1,6.1391,-1.3792,False,True,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-15 20:45:00,2025-06-15 21:15:00,NEXT_BAR_OPEN_REALISTIC,104650.8,104650.8,104428.41705,104271.44085,104075.2206,104650.8,BE_AFTER_TP1,0.2975,0.07,0.2275,2,1382,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1399,UNKNOWN,2025-06-16 01:30:00,2025-06-16,TREND_PULLBACK,Long,70.399,70.399,ema20_pullback;trend_stack,63.8178,0.0467,1.6787,0.7575,1,0,1,0.6272,4.2028,False,False,0.8702,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-16 01:45:00,2025-06-16 04:15:00,NEXT_BAR_OPEN_REALISTIC,105560.0,105629.00178571,105794.60607143,105960.21035714,106167.21571429,106167.21571429,TP3,1.465,0.07,1.395,10,1410,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1556,UNKNOWN,2025-06-17 16:45:00,2025-06-17,WEAK_BOS,Short,62.0215,62.0215,break_low,22.3984,-1.7487,4.4144,0.7357,16,1,1,4.7296,-1.0036,False,True,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-17 17:00:00,2025-06-17 17:30:00,NEXT_BAR_OPEN_REALISTIC,103574.2,104048.3,103171.215,102886.755,102531.18,104048.3,SL,-1.0,0.07,-1.07,2,1559,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1644,UNKNOWN,2025-06-18 14:45:00,2025-06-18,TREND_PULLBACK,Short,69.5005,69.5005,ema20_pullback;trend_stack,53.0724,-0.2371,1.2658,0.7525,14,2,0,1.7714,2.0215,False,False,0.533,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-18 15:00:00,2025-06-18 15:30:00,NEXT_BAR_OPEN_REALISTIC,104576.1,104576.1,104228.74142857,103983.54714286,103677.05428571,104576.1,BE_AFTER_TP1,0.2975,0.07,0.2275,2,1647,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1715,UNKNOWN,2025-06-19 08:30:00,2025-06-19,FVG_TOUCH,Long,68.8969,68.8969,bullish_fvg_touch,43.9075,0.2756,-0.7775,0.2519,8,3,0,2.196,2.0529,False,False,0.4832,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-19 08:45:00,2025-06-19 13:00:00,NEXT_BAR_OPEN_REALISTIC,104861.9,104599.7455,105084.731325,105242.024025,105438.6399,104599.7455,SL,-1.0,0.07,-1.07,17,1733,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1806,UNKNOWN,2025-06-20 07:15:00,2025-06-20,WEAK_BOS,Long,66.0,66.0,break_high,70.7976,0.4277,4.4768,0.8664,7,4,0,-2.532,6.183,True,False,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-20 07:30:00,2025-06-20 07:45:00,NEXT_BAR_OPEN_REALISTIC,105123.0,105188.701875,105346.386375,105504.070875,105701.1765,105701.1765,TP3,1.465,0.07,1.395,1,1808,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1948,UNKNOWN,2025-06-21 18:45:00,2025-06-21,WEAK_BOS,Short,66.0,66.0,break_low,28.465,-0.7333,5.6902,0.9594,18,5,0,5.3718,-2.2199,False,True,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-21 19:00:00,2025-06-21 20:30:00,NEXT_BAR_OPEN_REALISTIC,102620.9,102556.762,102402.8308,102248.8996,102056.4856,102556.762,BE_AFTER_TP1,0.805,0.07,0.735,6,1955,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2021,UNKNOWN,2025-06-22 13:00:00,2025-06-22,TREND_PULLBACK,Short,67.4723,67.4723,ema20_pullback;trend_stack,44.8429,-0.0323,0.3932,0.827,13,6,0,2.5908,0.9656,False,False,0.2715,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-22 13:15:00,2025-06-22 13:15:00,NEXT_BAR_OPEN_REALISTIC,102230.8,102166.90575,102013.55955,101860.21335,101668.5306,101668.5306,TP3,1.465,0.07,1.395,0,2022,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2119,UNKNOWN,2025-06-23 13:30:00,2025-06-23,REAL_CHOCH,Long,77.1077,77.1077,choch_sweep_low;choch_break_high;trend_align,58.8137,0.3569,2.4097,0.5193,13,0,3,-0.1751,2.6055,False,False,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-23 13:45:00,2025-06-23 14:15:00,NEXT_BAR_OPEN_REALISTIC,101948.6,102035.25357143,102243.22214286,102451.19071429,102711.15142857,102035.25357143,BE_AFTER_TP1,0.805,0.07,0.735,2,2122,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2185,UNKNOWN,2025-06-24 06:00:00,2025-06-24,FVG_TOUCH,Long,63.9307,63.9307,bullish_fvg_touch,62.0926,2.7653,-0.3143,0.051,6,1,5,0.3458,3.0065,False,False,0.8969,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-24 06:15:00,2025-06-24 07:00:00,NEXT_BAR_OPEN_REALISTIC,105359.1,105424.9495,105582.9883,105741.0271,105938.5756,105424.9495,BE_AFTER_TP1,0.805,0.07,0.735,3,2189,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2310,UNKNOWN,2025-06-25 13:15:00,2025-06-25,WEAK_BOS,Long,66.0,66.0,break_high,77.922,1.5007,6.0763,0.9231,13,2,1,-1.7438,6.1154,True,False,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-25 13:30:00,2025-06-25 13:30:00,NEXT_BAR_OPEN_REALISTIC,107820.0,107550.44975,108049.1177125,108210.8478625,108413.01055,107550.44975,SL,-1.0,0.07,-1.07,0,2311,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2441,UNKNOWN,2025-06-26 22:00:00,2025-06-26,FVG_TOUCH,Short,64.0597,64.0597,bearish_fvg_touch,40.676,-0.1075,0.1687,0.041,22,3,0,3.9414,0.6584,False,False,0.1431,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-26 22:15:00,2025-06-27 01:00:00,NEXT_BAR_OPEN_REALISTIC,106958.9,106892.050625,106731.612125,106571.173625,106370.6255,106370.6255,TP3,1.465,0.07,1.395,11,2453,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2505,UNKNOWN,2025-06-27 14:00:00,2025-06-27,ORDERBLOCK_REACTION,Short,67.2317,67.2317,impulse_pullback_zone,39.4353,-0.5395,2.4811,0.2849,14,4,2,2.0985,1.4691,False,False,0.4118,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-27 14:15:00,2025-06-27 15:15:00,NEXT_BAR_OPEN_REALISTIC,106665.3,106665.3,106438.6362375,106278.6382875,106078.64085,106665.3,BE_AFTER_TP1,0.2975,0.07,0.2275,4,2510,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2607,UNKNOWN,2025-06-28 15:30:00,2025-06-28,TREND_PULLBACK,Long,65.2178,65.2178,ema20_pullback;trend_stack,46.8268,0.057,-0.3656,0.999,15,5,2,1.3071,3.1999,False,False,0.71,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-28 15:45:00,2025-06-28 16:15:00,NEXT_BAR_OPEN_REALISTIC,107246.8,107246.8,107474.6996625,107635.5700125,107836.65795,107246.8,BE_AFTER_TP1,0.2975,0.07,0.2275,2,2610,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2677,UNKNOWN,2025-06-29 09:00:00,2025-06-29,FVG_TOUCH,Long,76.2251,76.2251,bullish_fvg_touch,91.9457,1.0816,2.1501,0.2404,9,6,0,-0.0479,7.237,False,False,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-29 09:15:00,2025-06-29 11:45:00,NEXT_BAR_OPEN_REALISTIC,107699.9,107767.2125,107928.7625,108090.3125,108292.25,108292.25,TP3,1.465,0.07,1.395,10,2688,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2793,UNKNOWN,2025-06-30 14:00:00,2025-06-30,LIQUIDITY_SWEEP,Long,88.6108,88.6108,sweep_low;reclaim,45.935,-0.6766,4.6656,0.0379,14,0,2,2.3469,0.7487,False,False,0.2419,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-30 14:15:00,2025-06-30 14:15:00,NEXT_BAR_OPEN_REALISTIC,107464.3,107195.63925,107692.6616375,107853.8580875,108055.35365,107195.63925,SL,-1.0,0.07,-1.07,0,2794,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2808,UNKNOWN,2025-06-30 17:45:00,2025-06-30,TREND_PULLBACK,Short,64.9281,64.9281,ema20_pullback;trend_stack,52.4813,-0.3403,-0.2669,0.8052,17,0,0,1.2467,2.3008,False,False,0.6486,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-06-30 18:00:00,2025-06-30 19:15:00,NEXT_BAR_OPEN_REALISTIC,107422.7,107422.7,107150.65142857,106958.61714286,106718.57428571,107422.7,BE_AFTER_TP1,0.2975,0.07,0.2275,5,2814,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2893,UNKNOWN,2025-07-01 15:00:00,2025-07-01,FVG_TOUCH,Short,74.9675,74.9675,bearish_fvg_touch,34.671,-0.7385,2.3497,0.51,15,1,1,4.4092,-0.0693,False,False,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-01 15:15:00,2025-07-01 15:30:00,NEXT_BAR_OPEN_REALISTIC,105619.6,105964.58571429,105326.36214286,105119.37071429,104860.63142857,105964.58571429,SL,-1.0,0.07,-1.07,1,2895,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
2964,UNKNOWN,2025-07-02 08:45:00,2025-07-02,FVG_TOUCH,Long,68.9862,68.9862,bullish_fvg_touch,89.2695,2.2055,1.4625,0.2727,8,2,3,0.1251,8.0459,False,False,0.9847,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-02 09:00:00,2025-07-02 11:45:00,NEXT_BAR_OPEN_REALISTIC,107691.5,107422.271,107920.34465,108081.88205,108283.8038,107422.271,SL,-1.0,0.07,-1.07,11,2976,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3038,UNKNOWN,2025-07-03 03:15:00,2025-07-03,FVG_TOUCH,Long,63.2032,63.2032,bullish_fvg_touch,46.0334,0.5782,-0.5949,0.3633,3,3,0,3.6877,1.1095,False,False,0.2313,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-03 03:30:00,2025-07-03 05:30:00,NEXT_BAR_OPEN_REALISTIC,108687.0,108754.929375,108917.959875,109080.990375,109284.7785,109284.7785,TP3,1.465,0.07,1.395,8,3047,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3176,UNKNOWN,2025-07-04 13:45:00,2025-07-04,WEAK_BOS,Short,66.0,66.0,break_low,14.6817,-1.2118,6.2854,0.942,13,4,0,6.1415,-1.8205,False,True,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-04 14:00:00,2025-07-04 14:15:00,NEXT_BAR_OPEN_REALISTIC,107918.7,107851.2508125,107689.3727625,107527.4947125,107325.14715,107851.2508125,BE_AFTER_TP1,0.805,0.07,0.735,1,3178,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3297,UNKNOWN,2025-07-05 20:00:00,2025-07-05,TREND_PULLBACK,Short,67.7811,67.7811,ema20_pullback;trend_stack,55.0527,-0.1597,0.8599,0.7383,20,5,0,1.5612,1.6634,False,False,0.5158,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-05 20:15:00,2025-07-06 02:15:00,NEXT_BAR_OPEN_REALISTIC,107985.0,108254.9625,107755.531875,107593.554375,107391.0825,108093.1,TIME_EXIT,-0.4004,0.07,-0.4704,24,3322,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3395,UNKNOWN,2025-07-06 20:30:00,2025-07-06,FVG_TOUCH,Long,68.9577,68.9577,bullish_fvg_touch,49.6278,0.7111,-0.4271,0.7027,20,6,0,1.1923,2.6945,False,False,0.6932,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-06 20:45:00,2025-07-06 21:15:00,NEXT_BAR_OPEN_REALISTIC,108700.0,108767.9375,108930.9875,109094.0375,109297.85,109297.85,TP3,1.465,0.07,1.395,2,3398,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3419,UNKNOWN,2025-07-07 02:30:00,2025-07-07,FVG_TOUCH,Long,73.0312,73.0312,bullish_fvg_touch,57.3436,1.0351,0.0208,0.1982,2,0,0,1.2413,3.9368,False,False,0.7603,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-07 02:45:00,2025-07-07 03:45:00,NEXT_BAR_OPEN_REALISTIC,109430.1,109430.1,109662.6389625,109826.7841125,110031.96555,109430.1,BE_AFTER_TP1,0.2975,0.07,0.2275,4,3424,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3547,UNKNOWN,2025-07-08 10:30:00,2025-07-08,FVG_TOUCH,Long,66.1543,66.1543,bullish_fvg_touch,77.203,0.9364,1.7002,0.8749,10,1,0,-1.3888,6.2831,True,False,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-08 10:45:00,2025-07-08 14:00:00,NEXT_BAR_OPEN_REALISTIC,108830.2,108830.2,109061.4639625,109224.7091125,109428.76555,108830.2,BE_AFTER_TP1,0.2975,0.07,0.2275,13,3561,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3647,UNKNOWN,2025-07-09 11:30:00,2025-07-09,FVG_TOUCH,Long,70.9808,70.9808,bullish_fvg_touch,67.6542,0.6371,0.6414,0.1165,11,2,1,0.2329,4.7727,False,False,0.9535,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-09 11:45:00,2025-07-09 13:00:00,NEXT_BAR_OPEN_REALISTIC,109008.0,109076.1299375,109239.6417875,109403.1536375,109607.54345,109607.54345,TP3,1.465,0.07,1.395,5,3653,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3764,UNKNOWN,2025-07-10 16:45:00,2025-07-10,FVG_TOUCH,Long,74.3054,74.3054,bullish_fvg_touch,74.1666,0.6856,0.8702,0.0376,16,3,0,0.1649,5.1212,False,False,0.9688,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-10 17:00:00,2025-07-10 17:30:00,NEXT_BAR_OPEN_REALISTIC,112596.4,112702.04464286,112955.59178571,113209.13892857,113526.07285714,113526.07285714,TP3,1.465,0.07,1.395,2,3767,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3860,UNKNOWN,2025-07-11 16:45:00,2025-07-11,FVG_TOUCH,Long,63.6425,63.6425,bullish_fvg_touch,46.2486,0.4625,-0.4522,0.2777,16,4,0,1.6564,1.5942,False,False,0.4904,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-11 17:00:00,2025-07-11 21:00:00,NEXT_BAR_OPEN_REALISTIC,117403.0,117527.19821429,117825.27392857,118123.34964286,118495.94428571,117527.19821429,BE_AFTER_TP1,0.805,0.07,0.735,16,3877,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
3893,UNKNOWN,2025-07-12 01:00:00,2025-07-12,TREND_PULLBACK,Long,63.4924,63.4924,ema20_pullback;trend_stack,53.7673,0.1126,-0.6915,0.7071,1,5,0,2.0806,2.2109,False,False,0.5152,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD,2025-07-12 01:15:00,2025-07-12 04:45:00,NEXT_BAR_OPEN_REALISTIC,117579.2,117579.2,117829.0560125,118005.4249625,118225.88615,117579.2,BE_AFTER_TP1,0.2975,0.07,0.2275,14,3908,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
